sample_accession,counts_column,condition,cell_line,genotype_label,platform,culture_format,biological_replicate,experiment,title
GSM8075829,M1-3_EDi022-A_CTR_06,control,EDi022-A,CTR,Chip,Flow,6,1.3,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Flow, rep 6, experiment 1.3"
GSM8075828,M1-3_EDi022-A_CTR_05,control,EDi022-A,CTR,Chip,Flow,5,1.3,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Flow, rep 5, experiment 1.3"
GSM8075827,M1-3_EDi022-A_CTR_04,control,EDi022-A,CTR,Chip,Flow,4,1.3,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Flow, rep 4, experiment 1.3"
GSM8075826,M1-3_EDi022-A_CTR_03,control,EDi022-A,CTR,Chip,Static,3,1.3,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Static, rep 3, experiment 1.3"
GSM8075825,M1-3_EDi022-A_CTR_02,control,EDi022-A,CTR,Chip,Static,2,1.3,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Static, rep 2, experiment 1.3"
GSM8075824,M1-3_EDi022-A_CTR_01,control,EDi022-A,CTR,Chip,Static,1,1.3,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Static, rep 1, experiment 1.3"
GSM8075835,M1-3_EDi028-A_CTR_06,control,EDi028-A,CTR,Chip,Flow,6,1.3,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Flow, rep 6, experiment 1.3"
GSM8075834,M1-3_EDi028-A_CTR_05,control,EDi028-A,CTR,Chip,Flow,5,1.3,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Flow, rep 5, experiment 1.3"
GSM8075833,M1-3_EDi028-A_CTR_04,control,EDi028-A,CTR,Chip,Flow,4,1.3,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Flow, rep 4, experiment 1.3"
GSM8075832,M1-3_EDi028-A_CTR_03,control,EDi028-A,CTR,Chip,Static,3,1.3,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Static, rep 3, experiment 1.3"
GSM8075831,M1-3_EDi028-A_CTR_02,control,EDi028-A,CTR,Chip,Static,2,1.3,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Static, rep 2, experiment 1.3"
GSM8075830,M1-3_EDi028-A_CTR_01,control,EDi028-A,CTR,Chip,Static,1,1.3,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Static, rep 1, experiment 1.3"
GSM8075880,M5-4_9FP9iALS_96,ALS,9FP9iALS,ALS,96 Well,Static,,5.4,"iPSC-derived motor neuron cultures, sporadic ALS, line 9FP9iALS, 96 Well, experiment 5.4"
GSM8075879,M5-4_9FP9iALS_03,ALS,9FP9iALS,ALS,Chip,Flow,3,5.4,"iPSC-derived motor neuron cultures, sporadic ALS, line 9FP9iALS, Chip, Flow, rep 3, experiment 5.4"
GSM8075878,M5-4_9FP9iALS_02,ALS,9FP9iALS,ALS,Chip,Flow,2,5.4,"iPSC-derived motor neuron cultures, sporadic ALS, line 9FP9iALS, Chip, Flow, rep 2, experiment 5.4"
GSM8075877,M5-4_9FP9iALS_01,ALS,9FP9iALS,ALS,Chip,Flow,1,5.4,"iPSC-derived motor neuron cultures, sporadic ALS, line 9FP9iALS, Chip, Flow, rep 1, experiment 5.4"
GSM8075876,M5-4_5XVDiALS_96,ALS,5XVDiALS,ALS,96 Well,Static,,5.4,"iPSC-derived motor neuron cultures, sporadic ALS, line 5XVDiALS, 96 Well, experiment 5.4"
GSM8075875,M5-4_5XVDiALS_03,ALS,5XVDiALS,ALS,Chip,Flow,3,5.4,"iPSC-derived motor neuron cultures, sporadic ALS, line 5XVDiALS, Chip, Flow, rep 3, experiment 5.4"
GSM8075874,M5-4_5XVDiALS_02,ALS,5XVDiALS,ALS,Chip,Flow,2,5.4,"iPSC-derived motor neuron cultures, sporadic ALS, line 5XVDiALS, Chip, Flow, rep 2, experiment 5.4"
