sample_accession,counts_column,condition,genotype,atxn2_status,construct_tag,cell_type,tissue,cell_line,timepoint,title
GSM8153370,EV1,control_empty_vector,Wild Type,wild_type,EV1,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, Empty Vector Unpreturbed, Day 12, Bio Rep 1  [EV1]"
GSM8153371,EV2,control_empty_vector,Wild Type,wild_type,EV2,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, Empty Vector Unpreturbed, Day 12, Bio Rep 2 [EV2]"
GSM8153372,EV3,control_empty_vector,Wild Type,wild_type,EV3,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, Empty Vector Unpreturbed, Day 12, Bio Rep 3 [EV3]"
GSM8153373,EV4,control_empty_vector,Wild Type,wild_type,EV4,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, Empty Vector Unpreturbed, Day 12, Bio Rep 4 [EV4]"
GSM8153374,Y1,control_YFP,Wild Type,wild_type,Y1,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, YFP only, Day 12, Bio Rep 1  [Y1]"
GSM8153375,Y2,control_YFP,Wild Type,wild_type,Y2,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, YFP only, Day 12, Bio Rep 2 [Y2]"
GSM8153376,Y3,control_YFP,Wild Type,wild_type,Y3,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, YFP only, Day 12, Bio Rep 3 [Y3]"
GSM8153377,Y4,control_YFP,Wild Type,wild_type,Y4,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, YFP only, Day 12, Bio Rep 4 [Y4]"
GSM8153378,T1,TDP-43_WT_overexpression,Wild Type,wild_type,T1,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43:YFP Overexpression, Day 12, Bio Rep 1 [T1]"
GSM8153379,T2,TDP-43_WT_overexpression,Wild Type,wild_type,T2,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43:YFP Overexpression, Day 12, Bio Rep 2 [T2]"
GSM8153380,T3,TDP-43_WT_overexpression,Wild Type,wild_type,T3,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43:YFP Overexpression, Day 12, Bio Rep 3 [T3]"
GSM8153381,T4,TDP-43_WT_overexpression,Wild Type,wild_type,T4,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43:YFP Overexpression, Day 12, Bio Rep 4 [T4]"
GSM8153382,N1,TDP-43_dNLS_overexpression,Wild Type,wild_type,N1,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43ΔNLS:YFP Overexpression, Day 12, Bio Rep 1 [N1]"
GSM8153383,N2,TDP-43_dNLS_overexpression,Wild Type,wild_type,N2,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43ΔNLS:YFP Overexpression, Day 12, Bio Rep 2 [N2]"
GSM8153384,N3,TDP-43_dNLS_overexpression,Wild Type,wild_type,N3,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43ΔNLS:YFP Overexpression, Day 12, Bio Rep 3 [N3]"
GSM8153385,N4,TDP-43_dNLS_overexpression,Wild Type,wild_type,N4,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43ΔNLS:YFP Overexpression, Day 12, Bio Rep 4 [N4]"
GSM8153386,EV_AKO1,control_empty_vector,ATXN2 -/-,ATXN2_knockout,EV_AKO1,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, Empty Vector ATXN2 Knockout, Day 12, Bio Rep 1  [EV_AKO1]"
GSM8153387,EV_AKO2,control_empty_vector,ATXN2 -/-,ATXN2_knockout,EV_AKO2,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, Empty Vector ATXN2 Knockout, Day 12, Bio Rep 2 [EV_AKO2]"
GSM8153388,EV_AKO3,control_empty_vector,ATXN2 -/-,ATXN2_knockout,EV_AKO3,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, Empty Vector ATXN2 Knockout, Day 12, Bio Rep 3 [EV_AKO3]"
GSM8153389,EV_AKO4,control_empty_vector,ATXN2 -/-,ATXN2_knockout,EV_AKO4,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, Empty Vector ATXN2 Knockout, Day 12, Bio Rep 4 [EV_AKO4]"
GSM8153390,Y_AKO1,control_YFP,ATXN2 -/-,ATXN2_knockout,Y_AKO1,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, YFP ATXN2 Knockout, Day 12, Bio Rep 1 [Y_AKO1]"
GSM8153391,Y_AKO2,control_YFP,ATXN2 -/-,ATXN2_knockout,Y_AKO2,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, YFP ATXN2 Knockout, Day 12, Bio Rep 2 [Y_AKO2]"
GSM8153392,Y_AKO3,control_YFP,ATXN2 -/-,ATXN2_knockout,Y_AKO3,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, YFP ATXN2 Knockout, Day 12, Bio Rep 3 [Y_AKO3]"
GSM8153393,Y_AKO4,control_YFP,ATXN2 -/-,ATXN2_knockout,Y_AKO4,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, YFP ATXN2 Knockout, Day 12, Bio Rep 4 [Y_AKO4]"
GSM8153394,T_AKO1,TDP-43_WT_overexpression,ATXN2 -/-,ATXN2_knockout,T_AKO1,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43:YFP ATXN2 Knockout, Day 12, Bio Rep 1 [T_AKO1]"
GSM8153395,T_AKO2,TDP-43_WT_overexpression,ATXN2 -/-,ATXN2_knockout,T_AKO2,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43:YFP ATXN2 Knockout, Day 12, Bio Rep 2 [T_AKO2]"
GSM8153396,T_AKO3,TDP-43_WT_overexpression,ATXN2 -/-,ATXN2_knockout,T_AKO3,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43:YFP ATXN2 Knockout, Day 12, Bio Rep 3 [T_AKO3]"
GSM8153397,T_AKO4,TDP-43_WT_overexpression,ATXN2 -/-,ATXN2_knockout,T_AKO4,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43:YFP ATXN2 Knockout, Day 12, Bio Rep 4 [T_AKO4]"
GSM8153398,N_AKO1,TDP-43_dNLS_overexpression,ATXN2 -/-,ATXN2_knockout,N_AKO1,Motor Neuron,Spinal Cord,11a,Day 12,"Motor Neuron, TDP-43ΔNLS:YFP ATXN2 Knockout, Day 12, Bio Rep 1 [N_AKO1]"
