gene,log2FC,t,p,padj,direction
FNIP2,0.27318723106534204,5.000114280328228,1.4554448137130924e-06,0.0010321432440927767,up
PEX5L,0.4016540621074373,4.684112234665132,5.85381249799832e-06,0.0014899556064114877,up
LINC00641,0.2355242120058966,4.610475452660114,8.023942445492311e-06,0.0016848107403076764,up
RMND5A,0.3181512255330003,4.450540219719653,1.572557725101974e-05,0.0020868878708574933,up
TMEM74,0.3469131386096907,4.166406374167702,4.9847014357556253e-05,0.003469624034836147,up
FAM69A,0.2795568161180874,4.1509715984191216,5.298807901718904e-05,0.0035534075488935016,up
NAP1L1,0.25793601985460707,4.119299924441977,6.003621350446623e-05,0.00363835664895355,up
RRAGD,0.22570427262008566,4.099178191908143,6.497024002059041e-05,0.0037672916036962764,up
SORT1,0.3329401208959051,4.0855286930249335,6.85351726576853e-05,0.003832997085325245,up
HSP90AA1,0.48894220487539586,4.022276003944057,8.763708075741451e-05,0.004450812406919069,up
ZHX1,0.2589178833104484,3.970919713281041,0.00010678012741366862,0.004792950383284583,up
IFNAR1,0.1790991772987864,3.9560817042045597,0.0001130137849319802,0.004922902685648837,up
USP46,0.2346304854153175,3.9383438351065054,0.00012092050314700217,0.005014304611759619,up
H2AFV,0.1829028384642767,3.9283416353704474,0.0001256082439053758,0.005078902234681033,up
KLF9,0.2871528493442944,3.9057899619843806,0.00013681975654903668,0.005261773240472606,up
MRPL19,0.2439248406755846,3.8900114007876545,0.00014522284489013935,0.005443246970522791,up
DNAJC21,0.18541990491967322,3.874855017539709,0.00015375463670934286,0.005529241286450182,up
GUF1,0.22283753872913495,3.866420629363767,0.00015870653338716223,0.005574676365336202,up
TRIQK,0.3259001712843882,3.850031290317944,0.00016876511022110324,0.005709993586087671,up
IGIP,0.22821046335653206,3.7948620504199226,0.00020725614422071188,0.006291856474125002,up
C2orf74,0.29864888730294037,3.7824109804381143,0.00021702695598616219,0.006445009887233952,up
ZFP91,0.205309700554879,3.7694348452659048,0.00022767335888026192,0.00653142553331418,up
PTGES3,0.31927260938588226,3.764513534236077,0.00023183900357421228,0.006574065233007234,up
FBXO45,0.25703710944358193,3.7530116648744456,0.0002418579905709259,0.006699844241924914,up
GDE1,0.19870933480915787,3.7411373257109894,0.0002526306282343597,0.006877779780269925,up
SLC30A4,0.2622861252181683,3.7102207658673727,0.0002828487229200736,0.007246567931575123,up
ANKRD2,0.4054734082841657,3.697020911733771,0.00029676490359800174,0.007494793412947254,up
DPH3,0.27288870811717153,3.695902880741907,0.0002979728715470521,0.007514596073481774,up
FAM98A,0.21945878765518648,3.6776801160302726,0.0003183286319585838,0.007795094359107365,up
RPSAP58,0.40628164432646674,3.6767502383336175,0.0003194017994829656,0.007810585521425512,up
TAF13,0.3156751179780491,3.6729386286424104,0.0003238365769764534,0.007886399276394975,up
CDKL2,0.2615430956403484,3.6700825989725763,0.00032719758996039607,0.007907418607544296,up
EPS15,0.23126085023021267,3.661743706991482,0.0003372004098416891,0.008047351538566123,up
ATP8A1,0.3409972378630411,3.65975291920975,0.00033963076747711235,0.00805344122927855,up
BTBD3,0.2513977251170769,3.636109803611202,0.00036978771196289885,0.008319754245419078,up
TAOK1,0.1932273347129639,3.6355481248946884,0.00037053396210782075,0.008323369056249757,up
GUCY1A1,0.34535156115183563,3.6290374855624092,0.00037928835745607297,0.008409319443978757,up
PALM2,0.3152967572525177,3.6211757817192267,0.00039011946513354054,0.00853705483868929,up
SPOCK1,0.3111522788369465,3.6103555230023625,0.00040550424076861034,0.008787217596491717,up
FEM1B,0.2992254008142625,3.6005397332059617,0.00041995391722427617,0.00886352737912999,up
PPP4R2,0.33651654236349055,3.5981805741573276,0.0004234984137181093,0.008895975564938815,up
HNRNPC,0.18123366859488205,3.590946451900399,0.00043454381136680715,0.008979052717624853,up
PPP1R9A,0.21792016100071765,3.5878280811356005,0.0004393883089700123,0.009037024744465601,up
KLHL4,0.49335572336160993,3.583703679443503,0.0004458738825502054,0.009117529485274039,up
SERBP1,0.18285642448370848,3.576158889018145,0.0004579719318949074,0.009258134983540266,up
MEGF9,0.18570059242392498,3.566914448911326,0.0004732168249222131,0.009437189076542087,up
GLIPR1,0.46328758680165477,3.565038299953786,0.00047636851491398094,0.009458051693409918,up
HACD2,0.2746789923937607,3.5495861323716102,0.0005030879876588539,0.009769164220376584,up
STARD7,0.1845104529881024,3.5399187332061217,0.0005205149669983211,0.009940586559286866,up
DPH6-AS1,0.308589051506831,3.5329680416924982,0.0005333938098996805,0.010033765875588274,up
ANKRD20A9P,-0.751701224584972,-6.595995288698757,5.500211890786107e-10,9.751325661174689e-06,down
GBP4,-0.7398804593290247,-6.079513835489404,8.124996558959357e-09,7.202403199689522e-05,down
TCHH,-0.5597558593944574,-5.792200459402737,3.436886152860315e-08,0.00020310851534686842,down
PMS2P1,-0.4746515970717651,-5.674459094830206,6.130701495427969e-08,0.0002717280170311061,down
HAPLN3,-0.5398911931760039,-5.609892421253331,8.394301270135764e-08,0.0002819119898736025,down
COLEC11,-0.7162233156048377,-5.5582719487013685,1.0774380571817863e-07,0.0002819119898736025,down
PKD1L3,-0.4695554714417729,-5.551519123160695,1.1130824801823101e-07,0.0002819119898736025,down
NLRP3,-0.5882972355657228,-5.513187031723969,1.3383169441378553e-07,0.0002877008731429199,down
ZNF251,-0.4394858255005954,-5.482065679922534,1.5533801456674388e-07,0.0002877008731429199,down
MIR7161,-0.407171297619033,-5.472917904468027,1.6227698863044723e-07,0.0002877008731429199,down
ABO,-0.55783712542748,-5.426373914714639,2.0253997378325297e-07,0.000301329525622694,down
LINC01572,-0.44054170895358724,-5.424905612888093,2.0395703691535495e-07,0.000301329525622694,down
LOC100128361,-0.40111614166702947,-5.379896375986072,2.524076636270663e-07,0.000344225805264943,down
NPEPL1,-0.6897136898604532,-5.341396538241067,3.026119898167416e-07,0.0003832148548186437,down
GIMAP7,-0.567027347487598,-5.302112192150673,3.6382995005869576e-07,0.0004257352615170134,down
ZBTB49,-0.3344730277511474,-5.290451180968614,3.8421592781726067e-07,0.0004257352615170134,down
MGC12916,-0.44852078837674797,-5.266226236413061,4.301840446281357e-07,0.00044863134865954227,down
POFUT2,-0.577353323549755,-5.2458579200722255,4.729403556007375e-07,0.00046581997580252637,down
SETDB1,-0.33501925913096575,-5.1463976449162185,7.486072086716943e-07,0.000696820539963833,down
EXOSC10,-0.4690106138345777,-5.130654477760239,8.046248384511951e-07,0.000696820539963833,down
TTC25,-0.4982249931032099,-5.125089649760564,8.253839099351623e-07,0.000696820539963833,down
PATJ,-0.40936477117904096,-5.086160099460606,9.858785876226494e-07,0.0007944837036346342,down
FGFBP3,-0.39511807011328265,-5.049098624757064,1.1666074586122133e-06,0.0008694909077359169,down
MSTO2P,-0.5810541247394965,-5.047132914154467,1.1770422350759775e-06,0.0008694909077359169,down
ZNF534,-0.6060682829482471,-4.976653588932042,1.6172834259108218e-06,0.0010793367477498577,down
SLC5A4,-0.5759634308865432,-4.973034754439315,1.6437527322040813e-06,0.0010793367477498577,down
SLC37A4,-0.3999757005124037,-4.938096992284009,1.921879572374166e-06,0.001176090514164034,down
LIPE-AS1,-0.457421389994398,-4.9369165351806545,1.9320322037863053e-06,0.001176090514164034,down
LOC100506274,-0.568982329375838,-4.925543341442323,2.0325497874215673e-06,0.001176090514164034,down
TOP3A,-0.3656562084134289,-4.922586214332585,2.0595044910576565e-06,0.001176090514164034,down
WASH7P,-0.6349135738182468,-4.903664858261111,2.240358410032599e-06,0.001176090514164034,down
GNMT,-0.5045628994533079,-4.902962749117976,2.2473571602362946e-06,0.001176090514164034,down
TDRD10,-0.3707338860829516,-4.895048919906614,2.3277233724817223e-06,0.001176090514164034,down
LOC101929767,-0.359690636768484,-4.878910169025567,2.500334008470227e-06,0.001176090514164034,down
SOX7,-0.6233323146251832,-4.877206261524437,2.5192655485556995e-06,0.001176090514164034,down
ZZEF1,-0.323791890995021,-4.864382538157539,2.666268258683061e-06,0.001176090514164034,down
TMEM91,-0.45437894019003516,-4.856957245043592,2.7551491809403647e-06,0.001176090514164034,down
CCDC78,-0.5767328042326668,-4.851528363533995,2.82194175020364e-06,0.001176090514164034,down
AKR7L,-0.5090204855675711,-4.847158263858517,2.8768443774704036e-06,0.001176090514164034,down
IGSF22,-0.5693246420480207,-4.846204833973187,2.888959247970213e-06,0.001176090514164034,down
NANOGP8,-0.44076769702482055,-4.838097654418421,2.993989241580859e-06,0.001176090514164034,down
SLC25A10,-0.45451900394403555,-4.836487632898259,3.015282878694491e-06,0.001176090514164034,down
MOV10,-0.6642786294131897,-4.8360754364734655,3.0207579857671335e-06,0.001176090514164034,down
LOC101929719,-0.5090037935414277,-4.833964471211459,3.0489486237962203e-06,0.001176090514164034,down
TTLL3,-0.696481568960194,-4.833773848145494,3.0515067771191583e-06,0.001176090514164034,down
ADAM8,-0.6872597679988097,-4.814019928798011,3.3281740455110954e-06,0.0012554297372950258,down
RHOT2,-0.6358455754033157,-4.806355420254574,3.441930068446357e-06,0.001271291212155947,down
LY6G5B,-0.6594438995832171,-4.801205152735899,3.5204737419244542e-06,0.0012737648769505846,down
RING1,-0.3382645655178258,-4.776224049193739,3.9267122798859975e-06,0.00133811761989121,down
CATSPER3,-0.322134455961433,-4.773818923966322,3.9681347247381955e-06,0.00133811761989121,down
