rank_nsig3,rank_all,pert_iname_lower,best_score,median_score,n_sigs
1,1,cd-00491sc,-0.38812768,-0.075508974,26
2,2,l-690488,-0.3768899,-0.028373595,59
3,3,4-iodo-6-phenylpyrimidine,-0.37614366,-0.065290764,59
4,4,tw-37,-0.3759929,-0.010066522,57
5,5,brd-k57732441,-0.37229344,-0.121681035,13
6,6,brd-k84924563,-0.3719705,0.031901296,59
7,7,trifluoperazine,-0.37158588,-0.011484488,134
8,8,brd-k60070073,-0.3707205,-0.098265134,13
9,9,brd-k35247118,-0.3698428,-0.08588349,4
10,10,brd-k49553303,-0.36980045,0.0022660524,13
11,11,brd-k07642375,-0.36970723,0.08650874,4
12,12,brd-k66426634,-0.36963773,-0.04014837,17
13,13,brd-k90999434,-0.3674578,0.016819978,59
14,14,sa-440832,-0.36571002,-0.1857653,8
15,15,brd-k83509924,-0.3629132,-0.0024200212,13
16,16,brd-k64099269,-0.36274794,-0.05598996,21
17,17,geldanamycin,-0.3625492,-0.015857674,934
18,18,brd-k36910796,-0.36131194,-0.041281253,8
19,19,calcitriol,-0.35879382,0.013110596,125
20,20,naltrexone,-0.35866567,0.0111623965,81
21,21,brd-k90430314,-0.3569188,-0.009625898,17
22,22,sd-6-035-a8,-0.3565646,-0.09164434,13
23,23,tg-100115,-0.35592058,-0.07047551,17
24,24,brd-k85592362,-0.3550891,-0.08346337,11
25,25,mw-shh-61,-0.3535247,0.07453786,101
26,26,aminoglutethimide,-0.35064304,-0.0425415,39
27,27,sa-1463814,-0.3503384,-0.04657894,18
28,28,nicardipine,-0.34984213,-0.017445413,88
29,29,ikk3-inhibitor-ix,-0.34917068,-0.0731471,59
30,30,iobenguane,-0.34795317,0.056958977,23
31,31,triacsin-c,-0.34777066,-0.102593765,59
32,32,brd-k67798612,-0.34775096,0.02337617,13
33,33,brd-k47709646,-0.3476584,-0.09193385,17
34,34,estradiol,-0.34632903,-0.034861103,302
35,35,sa-247384,-0.34550568,-0.100238524,21
36,36,genistein,-0.34091708,0.0070791235,274
37,37,brd-k65904652,-0.3394425,-0.18771684,13
38,38,bms-345541,-0.33937266,-0.07943449,66
39,39,brd-k15475572,-0.33873835,-0.0333877,17
40,40,brd-k58972465,-0.33832523,-0.06260695,17
41,41,amiloride,-0.3380447,-0.045501314,48
42,42,brd-k54577741,-0.3379238,-0.115720674,4
43,43,gsk-1904529a,-0.33783922,-0.07112829,65
44,44,mw-stk33-4c,-0.33750984,0.068505585,32
45,45,sd-8-005,-0.3374055,-0.008921953,22
46,46,brd-k53816294,-0.3371691,-0.009333366,17
47,47,nsc-95397,-0.3369249,-0.007307264,98
48,48,brd-k49441594,-0.33689308,0.053826857,9
49,49,sa-1457810,-0.33582985,0.06958864,12
50,50,brd-k25144184,-0.33383268,-0.09298278,13
51,51,brd-k96285502,-0.33379245,0.013362607,8
52,52,brd-k03176945,-0.33326808,0.02926727,16
53,53,masitinib,-0.33298272,-0.060833655,66
54,55,brd-k32896438,-0.33249107,-0.017066233,25
55,56,apo-866,-0.33184204,-0.059666142,59
56,57,idarubicin,-0.33175787,0.09312161,105
57,58,brd-k94544211,-0.33162242,0.00049994007,17
58,59,brd-k67519589,-0.3316197,-0.034101095,13
59,60,brivanib,-0.33094677,0.05720222,66
60,61,brd-k23282736,-0.33064863,0.003887822,13
61,62,brd-k83816656,-0.33012074,-0.08782037,13
62,63,st-012030,-0.3300792,-0.04501563,17
63,64,brd-k95367721,-0.3291558,-0.006648686,12
64,65,sa-1460224,-0.3290978,-0.011765683,26
65,66,st-4066738,-0.329029,-0.0630817,17
66,67,benfluorex,-0.32846808,0.0010522135,15
67,68,brd-k39507792,-0.3270049,0.047086217,12
68,69,brd-k24754728,-0.32643068,-0.024383299,13
69,70,mw-shh-97,-0.32630277,-0.05004807,101
70,71,brd-k02562327,-0.3262839,-0.036202278,19
71,72,brd-k41185612,-0.32604873,0.015411751,12
72,73,prl-3-inhibitor-i,-0.3257356,-0.044064194,94
73,74,brd-k46666779,-0.32549083,-0.1786713,8
74,75,cay-10415,-0.32460487,-0.049810644,17
75,76,tenofovir,-0.32434493,0.15040185,16
76,77,sd-8-006,-0.32431242,-0.075050026,24
77,78,dexamethasone-acetate,-0.324257,-0.00033826355,23
78,79,ipratropium,-0.32401678,0.015530051,65
79,80,brd-k24383920,-0.32361948,-0.11715457,8
80,81,brd-k57353465,-0.32353246,-0.009202606,12
81,82,genipin,-0.32353103,-0.10868389,11
82,83,brd-k88964386,-0.32311144,0.02304671,17
83,84,brd-k33720404,-0.32306272,0.05344823,13
84,85,brd-k37669227,-0.3225584,-0.066501364,28
85,86,coumestrol,-0.32234174,0.023624606,19
86,87,malonoben,-0.3218283,0.0038887062,31
87,88,sa-86418,-0.32130772,-0.035802472,12
