pert_iname,rank,best_score,median_score,n_sigs,chembl_id,max_phase,first_approval,MW,HBD,formula,cns_flag
cd-00491sc,1,-0.3881276845932007,-0.0755089744925499,26,,,,,,,False
l-690488,2,-0.3768899142742157,-0.0283735953271389,59,,,,,,,False
4-iodo-6-phenylpyrimidine,3,-0.3761436641216278,-0.06529076397418976,59,,,,,,,False
tw-37,4,-0.37599289417266846,-0.010066522285342216,57,,,,,,,False
brd-k57732441,5,-0.3722934424877167,-0.12168103456497192,13,,,,,,,False
brd-k84924563,6,-0.3719705045223236,0.031901296228170395,59,,,,,,,False
trifluoperazine,7,-0.371585875749588,-0.011484487913548946,134,CHEMBL422,4.0,1959.0,,,,True
brd-k60070073,8,-0.3707205057144165,-0.0982651337981224,13,,,,,,,False
brd-k35247118,9,-0.3698427975177765,-0.0858834907412529,4,,,,,,,False
brd-k49553303,10,-0.3698004484176636,0.0022660524118691683,13,,,,,,,False
brd-k07642375,11,-0.36970722675323486,0.08650874346494675,4,,,,,,,False
brd-k66426634,12,-0.36963772773742676,-0.04014836996793747,17,,,,,,,False
brd-k90999434,13,-0.3674578070640564,0.01681997813284397,59,,,,,,,False
sa-440832,14,-0.3657100200653076,-0.18576529622077942,8,,,,,,,False
brd-k83509924,15,-0.36291319131851196,-0.0024200212210416794,13,,,,,,,False
brd-k64099269,16,-0.3627479374408722,-0.055989958345890045,21,,,,,,,False
geldanamycin,17,-0.36254918575286865,-0.015857674181461334,934,,,,,,,False
brd-k36910796,18,-0.3613119423389435,-0.04128125309944153,8,,,,,,,False
calcitriol,19,-0.35879382491111755,0.013110595755279064,125,,,,,,,False
naltrexone,20,-0.35866567492485046,0.011162396520376205,81,CHEMBL19019,4.0,1984.0,,,,True
brd-k90430314,21,-0.3569188117980957,-0.009625897742807865,17,,,,,,,False
sd-6-035-a8,22,-0.35656461119651794,-0.09164433926343918,13,,,,,,,False
tg-100115,23,-0.35592058300971985,-0.0704755112528801,17,,,,,,,False
brd-k85592362,24,-0.35508909821510315,-0.08346337080001831,11,,,,,,,False
mw-shh-61,25,-0.35352471470832825,0.07453785836696625,101,,,,,,,False
aminoglutethimide,26,-0.3506430387496948,-0.0425415001809597,39,CHEMBL488,4.0,1980.0,,,,False
sa-1463814,27,-0.3503383994102478,-0.046578940004110336,18,,,,,,,False
nicardipine,28,-0.3498421311378479,-0.017445413395762444,88,CHEMBL1484,4.0,1988.0,,,,True
ikk3-inhibitor-ix,29,-0.3491706848144531,-0.07314710319042206,59,,,,,,,False
iobenguane,30,-0.3479531705379486,0.05695897713303566,23,,,,,,,False
