symbol,log2FC_mut_vs_ctrl,t,p,fdr_bh
TRIM4,8.770510222111257,243.8377697303296,8.393418856852066e-27,5.145165759250316e-23
MIR4458HG,8.124393818171086,176.8289098078998,7.533590845559969e-25,2.3090455941641306e-21
CTSF,8.06387025596901,70.03566531218367,3.172712687850214e-19,6.482909592173937e-16
NUDT16P1,6.254215013538356,50.56770248323755,2.9801407134640025e-17,3.653652514706867e-14
LOC107986675,5.63358600219863,47.2600897108572,7.64347421072617e-17,7.809082818625237e-14
LINC02506,4.909382980099321,45.24958573167111,1.3995796201477894e-16,1.2256318673579927e-13
TSPYL5,3.405997443881245,33.89928641733148,7.706239139998275e-15,4.132995427289348e-12
RNF24,1.5764816535738992,33.7802631791843,8.090692516716504e-15,4.132995427289348e-12
NAP1L6P,4.706289941416561,32.3403601473789,1.4780775082298845e-14,6.150071152879118e-12
LOC101927610,4.793428323898489,32.0463698576974,1.676978513923887e-14,6.424923931470892e-12
ZNF337,1.4784265563630905,31.820657458702865,1.84908759514516e-14,6.496217467891111e-12
SMAD3,1.4599292787110294,31.17174455032177,2.4580755338685156e-14,7.930527906638948e-12
ZNF343,1.4023180298657991,30.17631467838658,3.847780001018537e-14,9.82787141926818e-12
LOC642366,1.9366369512049835,29.559034501427636,5.1174404675502016e-14,1.2547964026433093e-11
STK35,1.2934537130187624,28.462670661613757,8.616474508109587e-14,1.821344439127992e-11
ZNF133,1.3665773514259465,28.12546336776043,1.0153721521781909e-13,2.0747437642841035e-11
PLD1,2.812158746054538,27.86337092233241,1.155082203548382e-13,2.1456526993186608e-11
RASSF2,1.7086091508339305,26.898845620678724,1.875554259563415e-13,3.284899317463924e-11
TCF4,1.53631499841655,26.308991267335415,2.5438386278912253e-13,4.331591885825892e-11
TBC1D20,1.2032056142947247,25.895830630058153,3.1616472082000054e-13,4.969460868273342e-11
HOXB1,2.2966459660048004,25.54248696132664,3.817888570102843e-13,5.844512888680876e-11
PTPRA,0.9801678049046776,25.453867779623742,4.004397085229964e-13,5.844512888680876e-11
LOC105377908,5.498746233284057,25.081896826906608,4.900539180627061e-13,6.777199382056539e-11
PANK2,1.129660336902633,25.054292602913375,4.975105582260102e-13,6.777199382056539e-11
LOC100131532,5.366054986729503,24.786872207162304,5.763673402341076e-13,7.680721294858869e-11
CPXM1,2.3916104210754496,24.152592679693807,8.221169114610492e-13,1.0041072791552541e-10
PLD6,4.399062829337948,23.29152635787447,1.3509159933656189e-12,1.505657279878408e-10
TLE4,0.9207846927232866,23.14219243146078,1.4750552547385908e-12,1.5863313529030812e-10
DNMT3B,1.5787438433359053,23.097332643382664,1.514688581850145e-12,1.6008691390933429e-10
ULBP1,1.9767137220463449,22.60944720715587,2.027457035916107e-12,2.0045663919622154e-10
PRDM16,1.7804061383837417,22.470354303261264,2.2056088031987495e-12,2.112559681813802e-10
ATRN,1.008477647984971,22.258251020532217,2.510270562774629e-12,2.2556000396043375e-10
FEZF1-AS1,3.978666558351957,22.150858294918635,2.6814262254605547e-12,2.3097616435396066e-10
MXRA5,1.7063734833866153,22.131889399157338,2.712933741188445e-12,2.3097616435396066e-10
ARHGAP17,0.7503878225347241,22.061773748209077,2.8328778094803464e-12,2.3744269468533095e-10
PLEKHG3,1.0569888072849905,21.792259250646904,3.3494946006033066e-12,2.701631829170825e-10
ZNF621,0.6061369506800897,21.55191088644378,3.895647696479126e-12,3.065364487516154e-10
ARHGAP22,2.3506308704307606,21.39651281061319,4.298955801705309e-12,3.2940748830566934e-10
