module,family,gating_family,module_k,set_m_in_universe,observed_overlap,expected_overlap,fold_enrichment,perm_p,null_fold_mean,null_fold_p95
down_FDR10,primary_cytoskeleton_organization,True,2069,305,121,76.686,1.578,5e-05,1.0,1.161
down_FDR10,secondary_ECM,False,2069,248,121,62.354,1.941,5e-05,1.0,1.187
down_FDR10,secondary_synapse,False,2069,449,230,112.891,2.037,5e-05,1.0,1.134
down_FDR10,secondary_cell_adhesion,False,2069,342,159,85.988,1.849,5e-05,1.0,1.151
down_FDR10,killed_nucleolar_ribo,False,2069,171,50,42.994,1.163,0.12609,1.001,1.209
down_FDR10,killed_speckle_splicing,False,2069,113,32,28.411,1.126,0.24689,1.0,1.267
down_FDR10,DPR_curated_literature,False,2069,5,0,1.257,0.0,1.0,0.999,2.386
up_FDR10,primary_cytoskeleton_organization,True,2265,305,101,83.95,1.203,0.01555,1.0,1.155
up_FDR10,secondary_ECM,False,2265,248,34,68.261,0.498,1.0,1.0,1.172
up_FDR10,secondary_synapse,False,2265,449,90,123.585,0.728,0.99995,1.001,1.125
up_FDR10,secondary_cell_adhesion,False,2265,342,67,94.134,0.712,0.99975,1.0,1.147
up_FDR10,killed_nucleolar_ribo,False,2265,171,67,47.067,1.424,0.00075,1.0,1.211
up_FDR10,killed_speckle_splicing,False,2265,113,59,31.103,1.897,5e-05,1.001,1.254
up_FDR10,DPR_curated_literature,False,2265,5,3,1.376,2.18,0.13194,0.994,2.18
top500_absT,primary_cytoskeleton_organization,True,1000,305,51,37.064,1.376,0.0102,0.999,1.241
top500_absT,secondary_ECM,False,1000,248,38,30.137,1.261,0.07265,0.998,1.294
top500_absT,secondary_synapse,False,1000,449,123,54.563,2.254,5e-05,1.003,1.21
top500_absT,secondary_cell_adhesion,False,1000,342,78,41.56,1.877,5e-05,1.0,1.251
top500_absT,killed_nucleolar_ribo,False,1000,171,36,20.78,1.732,0.0005,1.002,1.347
top500_absT,killed_speckle_splicing,False,1000,113,30,13.732,2.185,5e-05,1.0,1.456
top500_absT,DPR_curated_literature,False,1000,5,1,0.608,1.646,0.48098,1.009,3.292
