effect_pts_per_month,n_per_arm,power,arm
0.15,4,0.042,none
0.15,6,0.0473,none
0.15,8,0.0727,none
0.15,12,0.09,none
0.15,16,0.128,none
0.15,24,0.1667,none
0.15,32,0.2007,none
0.15,45,0.2733,none
0.15,60,0.3513,none
0.15,80,0.4533,none
0.15,110,0.5807,none
0.15,150,0.7133,none
0.15,200,0.832,none
0.15,260,0.926,none
0.15,330,0.9547,none
0.15,420,0.9913,none
0.15,550,0.9993,none
0.15,700,1.0,none
0.15,900,1.0,none
0.15,4,0.0493,noise
0.15,6,0.0593,noise
0.15,8,0.064,noise
0.15,12,0.09,noise
0.15,16,0.1247,noise
0.15,24,0.158,noise
0.15,32,0.214,noise
0.15,45,0.296,noise
0.15,60,0.3547,noise
0.15,80,0.4473,noise
0.15,110,0.562,noise
0.15,150,0.7047,noise
0.15,200,0.834,noise
0.15,260,0.9193,noise
0.15,330,0.9687,noise
0.15,420,0.992,noise
0.15,550,0.9993,noise
0.15,700,0.9987,noise
0.15,900,1.0,noise
0.15,4,0.042,clinical_static
0.15,6,0.07,clinical_static
0.15,8,0.084,clinical_static
0.15,12,0.104,clinical_static
0.15,16,0.1273,clinical_static
0.15,24,0.1847,clinical_static
0.15,32,0.2553,clinical_static
0.15,45,0.3053,clinical_static
0.15,60,0.4087,clinical_static
0.15,80,0.5627,clinical_static
0.15,110,0.6827,clinical_static
0.15,150,0.7933,clinical_static
0.15,200,0.9007,clinical_static
0.15,260,0.9633,clinical_static
0.15,330,0.9827,clinical_static
0.15,420,0.9967,clinical_static
0.15,550,1.0,clinical_static
0.15,700,1.0,clinical_static
0.15,900,1.0,clinical_static
0.15,4,0.0513,nfl_ml
0.15,6,0.068,nfl_ml
0.15,8,0.1047,nfl_ml
0.15,12,0.1133,nfl_ml
0.15,16,0.154,nfl_ml
0.15,24,0.2213,nfl_ml
0.15,32,0.286,nfl_ml
0.15,45,0.3767,nfl_ml
0.15,60,0.5173,nfl_ml
0.15,80,0.6047,nfl_ml
0.15,110,0.744,nfl_ml
0.15,150,0.878,nfl_ml
0.15,200,0.952,nfl_ml
0.15,260,0.9833,nfl_ml
0.15,330,0.998,nfl_ml
0.15,420,0.9993,nfl_ml
0.15,550,1.0,nfl_ml
0.15,700,1.0,nfl_ml
0.15,900,1.0,nfl_ml
0.15,4,0.0833,oracle
0.15,6,0.122,oracle
0.15,8,0.1467,oracle
0.15,12,0.2153,oracle
0.15,16,0.2947,oracle
0.15,24,0.4327,oracle
0.15,32,0.5773,oracle
0.15,45,0.7047,oracle
0.15,60,0.8333,oracle
