gene,ensembl_id,n_gwas_associations,min_pvalue,tractable_small_molecule,tractable_antibody,pmids,gwas_accessions
C9orf72,ENSG00000147894,9,4.00e-30,True,True,19734901|20801718|22959728|24931836|25442119|27455348|29566793|30976013,GCST000481|GCST000781|GCST001664|GCST002509|GCST004692|GCST005647|GCST007146|GCST008978
UNC13A,ENSG00000130477,6,4.00e-15,False,True,19734901|22959728|24931836|27455348|29566793,GCST000481|GCST001664|GCST002509|GCST004692|GCST004792|GCST005647
NR,ENSG00000213281,16,2.00e-14,True,True,19451621|19734901|20801717|31872054,GCST000406|GCST000481|GCST000820|GCST009529
C21orf2,ENSG00000160226,2,2.00e-14,False,True,27455348|29566793,GCST004692|GCST005647
KIF5A,ENSG00000155980,1,7.00e-13,True,True,29566793,GCST005647
intergenic,ENSG00000266835,24,5.00e-11,False,False,17362836|18084291|20801717|22959728|24931836|26580837,GCST000013|GCST000127|GCST000820|GCST001663|GCST001664|GCST002509|GCST003175|GCST004792
ACSL5,ENSG00000197142,1,8.00e-11,True,True,32968195,GCST010857
IFNK,ENSG00000147896,3,9.00e-11,False,True,19734901|20801718,GCST000481|GCST000781
MOBKL2B,ENSG00000120162,3,9.00e-11,False,False,19734901|20801718,GCST000481|GCST000781
MOBP,ENSG00000168314,1,4.00e-10,False,False,27455348,GCST004692
SUSD2,ENSG00000099994,1,2.00e-09,False,True,23624525,GCST001981
CABIN1,ENSG00000099991,1,2.00e-09,False,False,23624525,GCST001981
GGT5,ENSG00000099998,1,2.00e-09,False,True,23624525,GCST001981
TBK1,ENSG00000183735,2,5.00e-09,True,False,27455348|29566793,GCST004692|GCST005647
SARM1,ENSG00000004139,1,1.00e-08,True,False,27455348,GCST004692
KIFAP3,ENSG00000075945,1,2.00e-08,False,False,19451621,GCST000406
CAMK1G,ENSG00000008118,1,3.00e-08,True,True,23624525,GCST001981
SOD1,ENSG00000142168,1,3.00e-08,True,True,20801718,GCST000781
SCFD1,ENSG00000092108,2,3.00e-08,False,True,27455348|29566793,GCST004692|GCST005647
ZNF746,ENSG00000181220,1,4.00e-08,False,False,19451621,GCST000406
TNIP1,ENSG00000145901,1,4.00e-08,False,False,29566793,GCST005647
DPP6,ENSG00000130226,3,5.00e-08,True,True,18057069|18084291|18987618,GCST000126|GCST000127|GCST000260
ST3GAL3,ENSG00000126091,1,7.00e-08,False,True,22959728,GCST001663
PMP22,ENSG00000109099,1,9.00e-08,True,True,29566793,GCST005647
SQLE,ENSG00000104549,2,1.00e-07,True,True,24931836,GCST002509|GCST002510
NSMCE2,ENSG00000156831,2,1.00e-07,False,False,24931836,GCST002509|GCST002510
KIAA0196,ENSG00000164961,2,1.00e-07,False,False,24931836,GCST002509|GCST002510
LOC101927815,,1,1.00e-07,False,False,29566793,GCST005647
LRRC3,ENSG00000160233,1,2.00e-07,False,True,22959728,GCST004793
C21orf29,ENSG00000175894,1,2.00e-07,False,True,22959728,GCST004793
PIGL,ENSG00000108474,1,3.00e-07,False,True,22959728,GCST001664
CENPV,ENSG00000166582,2,3.00e-07,False,False,22959728|24931836,GCST001664|GCST002509
ATXN3,ENSG00000066427,1,3.00e-07,True,True,29566793,GCST005647
CPNE4,ENSG00000196353,3,4.00e-07,False,True,22959728,GCST001664|GCST004792
NPEPPS,ENSG00000141279,1,5.00e-07,True,True,24234648,GCST002274
KIAA0513,ENSG00000135709,1,5.00e-07,False,False,22959728,GCST001664
ARAP2,ENSG00000047365,1,5.00e-07,False,False,22959728,GCST001663
STK36,ENSG00000163482,1,6.00e-07,True,True,22959728,GCST001664
TTLL4,ENSG00000135912,1,6.00e-07,False,False,22959728,GCST001664
ZNF142,ENSG00000115568,1,6.00e-07,False,False,22959728,GCST001664
LAMA3,ENSG00000053747,1,7.00e-07,False,True,22959728,GCST001664
LOC100506746,,1,9.00e-07,False,False,22470424,GCST001460
ARHGEF2,ENSG00000116584,1,1.00e-06,True,True,22959728,GCST001663
EFEMP1,ENSG00000115380,1,1.00e-06,False,True,19451621,GCST000406
B4GALT6,ENSG00000118276,1,1.00e-06,False,True,19451621,GCST000406
TXNDC6,ENSG00000181322,1,1.00e-06,True,False,24931836,GCST002509
IFRD1,ENSG00000006652,1,2.00e-06,False,True,22959728,GCST001663
KALRN,ENSG00000160145,1,2.00e-06,True,False,26580837,GCST003175
BOD1L,ENSG00000038219,1,2.00e-06,False,False,22959728,GCST004793
CREB5,ENSG00000146592,1,2.00e-06,False,True,22959728,GCST004793
SEC16B,ENSG00000120341,1,2.00e-06,False,True,22959728,GCST004791
EGR1,ENSG00000120738,1,2.00e-06,False,False,22959728,GCST004791
REEP2,ENSG00000132563,1,2.00e-06,False,True,22959728,GCST004791
ITPR2,ENSG00000123104,1,3.00e-06,True,True,17827064,GCST000072
